assassins_conversion_desc_random;The most essential goals of the Assassins is to protect the believers of the True Faith and spread the words of [shiite.GetHighGodName] to every corner of the Earth. While even the most remote lands shall be converted one day, first we must turn to places closer to home — your mission is to convert the county [FromFrom.GetName].;;;;;;;;;;;Íàèáîëåå ñóùåñòâåííîé öåëüþ àññàñèíîâ ÿâëÿåòñÿ çàùèòà èñòèííî âåðóþùèõ è ðàñïðîñòðàíåíèå ñëîâ [shiite.GetHighGodName]à âî âñå óãîëêè íàøåãî ìèðà. Êîãäà-íèáóäü äàæå ñàìûå äàë¸êèå çåìëè ïðèìóò íàøó âåðó, íî ñåé÷àñ ìû äîëæíû ñîñðåäîòî÷èòüñÿ íà áëèæàéøèõ ê íàì. Âàøà çàäà÷à - îáðàòèòü [FromFrom.County.GetAdjective]ñêèå òåððèòîðèè â [_øèèçì].;;x
assassins_conversion_desc_real;The most essential goals of the Assassins is to protect the believers of the True Faith and spread the words of Allah, Muhammad and Ali to every corner of the Earth. While even the most remote lands shall be converted one day, first we must turn to places closer to home. Your mission is to convert the county [FromFrom.GetName] to Shi'ism.;;;;;;;;;;;Íàèáîëåå ñóùåñòâåííîé öåëüþ àññàñèíîâ ÿâëÿåòñÿ çàùèòà èñòèííî âåðóþùèõ è ðàñïðîñòðàíåíèå ñëîâ [shiite.GetHighGodName]à, Ìóõàììàäà è Àëè âî âñå óãîëêè íàøåãî ìèðà. Êîãäà-íèáóäü äàæå ñàìûå äàë¸êèå çåìëè ïðèìóò íàøó âåðó, íî ñåé÷àñ ìû äîëæíû ñîñðåäîòî÷èòüñÿ íà áëèæàéøèõ ê íàì. Âàøà çàäà÷à - îáðàòèòü [FromFrom.County.GetAdjective]ñêèå òåððèòîðèè â [_øèèçì].;;x
bonus_faith;Faith;;;;;;;;;;;Âåðà;;x
bonus_zeal;Zeal;;;;;;;;;;;Óñåðäèå;;x
DW_text1;Known to worship evil;;;;;;;;;;;Ïîêëîíÿåòñÿ Çëó;;x
DW_text1_desc;This character is known to worship evil forces.;;;;;;;;;;;Èçâåñòíî, ÷òî ýò[GetEtaEtot] [GetAgedPerson] ïî÷èòàåò çëûå ñèëû.;;x
DW_text3;[Root.Liege.GetName] has ordered [Root.Liege.GetHerHis] [Root.Liege.GetMyLordSpiritualName], [Root.Liege.job_spiritual.GetTitledName], to hunt down the secret societies in [Root.Liege.GetHerHis] realm.;;;;;;;;;;;[Root.Liege.GetBestName] èçäàë[Root.Liege.GetEndA] óêàç î ïðåñëåäîâàíèè òàéíûõ êóëüòîâ, [Root.Liege.GetHersHis] [Root.Liege.GetMyLordSpiritualName] [Root.Liege.job_spiritual.GetFirstName] ëè÷íî ïðîñëåäèò çà åãî èñïîëíåíèåì.;;x
DW_text4;Give a devilish grin;;;;;;;;;;;Çëîáíî óëûáíóòüñÿ;;x
DW_text5;Who could resist?;;;;;;;;;;;Êòî æå ïîñìååò ñîïðîòèâëÿòüñÿ?;;x
Assassin_text1;Known Assassin;;;;;;;;;;;Èçâåñòíûé àññàñèí;;x
Assassin_text1_desc;This character is known to be a member of the Assassins.;;;;;;;;;;;Èçâåñòíî, ÷òî ýò[GetEtaEtot] [GetAgedPerson] ñîñòîèò â îðäåíå Àññàñèíîâ.;;x
