#CODE;ENGLISH;;;;;;;;;;;RUSSIAN;;x
accuse_rival_tooltip;Take this opportunity to get back at your rival and accuse [rival_target.GetHerHim] of apostasy. §Y[rival_target.GetBestName]§! might not be guilty - but your liege will be none the wiser either way...;;;;;;;;;;;Âîñïîëüçîâàòüñÿ âîçìîæíîñòüþ îáâèíèòü ñâîåãî âðàãà â âåðîîòñòóïíè÷åñòâå. Ìîæåò áûòü, §Y[rival_target.GetBestName]§! è íåâèíîâ[rival_target.GetNaEn], íî Âàø ñþçåðåí îò ýòîãî íå ñòàíåò ìóäðåå...;;x
apostate_found_tooltip;You bring §Y[accused_apostate.GetBestName]§! to the court of §Y[Root.Liege.GetTitle] [Root.Liege.GetFirstName]§!, [Root.Liege.GetSheHe] will decide the fate of the apostate!;;;;;;;;;;;§Y[accused_apostate.GetBestName]§! áóäåò ïðèâåäåí[accused_apostate.GetEndA] Âàìè êî äâîðó ñþçåðåíà, ïóñòü  §Y[Root.Liege.GetTitle] [Root.Liege.GetFirstName]§! ðåøèò ñóäüáó ýò[accused_apostate.GetOyOgo] âåðîîòñòóïíè[accused_apostate.GetTsyKa]!;;x
assassins_recruit_block_tooltip;Has not been approached by the Assassins previously.;;;;;;;;;;;Óáåäèòåñü, ÷òî ýò[Root.GetEtaEtot] [Root.GetAgedPerson] ÍÅ ïðèâëåêà[Root.GetLasLsya] ðàíåå ê âñòóïëåíèþ â ðÿäû àññàñèíîâ.;;x
destroy_all_ingredients_tt;All §YIngredients§! are destroyed and will be removed from the Treasury.\n;;;;;;;;;;;Âñå §Yèíãðåäèåíòû§! áóäóò óíè÷òîæåíû è óäàëåíû èç §Yñîêðîâèùíèöû§!\n;;x
destroy_selected_ingredient_1_and_2_tt;§Y[GetSelectedIngredient_1]§! and §Y[GetSelectedIngredient_2]§! will be removed from the Treasury.\n;;;;;;;;;;;§Y[GetSelectedIngredient_1]§! è §Y[GetSelectedIngredient_2]§! áóäóò óäàëåíû èç §Yñîêðîâèùíèöû§!\n;;x
destroy_selected_ingredient_1_plus_random_other_ingredient_tt;§Y[GetSelectedIngredient_1]§! and one random ingredient will be removed from the Treasury.\n;;;;;;;;;;;§Y[GetSelectedIngredient_1]§!, à òàêæå îäèí èç ïðîèçâîëüíûõ èíãðåäèåíòîâ áóäóò óäàëåíû èç §Yñîêðîâèùíèöû§!\n;;x
destroy_selected_ingredient_1_tt;§Y[GetSelectedIngredient_1]§! will be removed from the Treasury.\n;;;;;;;;;;;Èíãðåäèåíò §Y[GetSelectedIngredient_1]§! áóäåò óäàë¸í èç §Yñîêðîâèùíèöû§!\n;;x
destroy_selected_ingredient_2_tt;§Y[GetSelectedIngredient_2]§! will be removed from the Treasury.\n;;;;;;;;;;;Èíãðåäèåíò §Y[GetSelectedIngredient_2]§! áóäåò óäàë¸í èç §Yñîêðîâèùíèöû§!\n;;x
ingredient_option_available_tt;This option is available to you because you have an §YIngredient§! in your Treasury.\n \n;;;;;;;;;;;Ýòîò âàðèàíò äîñòóïåí Âàì, ïîñêîëüêó Âû èìååòå íóæíûé §Yèíãðåäèåíò§! â ñâîåé §Yñîêðîâèùíèöå§!\n \n;;x
ingredients_are_sent_tt;Some §YIngredients§! will be removed from the Treasury and sent to §Y[From.GetTitledFirstName]§!, in preparation for the ritual.\nThere is a chance this will enhance your experience.\n;;;;;;;;;;;Íåêîòîðûå §Yèíãðåäèåíòû§! áóäóò óäàëåíû èç §Yñîêðîâèùíèöû§! - èõ ïîëó÷èò §Y[From.GetTitledFirstName]§! äëÿ ïðèãîòîâëåíèé ê ðèòóàëó.\nÅñòü øàíñû íà ïîâûøåíèå Âàøåãî îïûòà.\n;;x
multiple_ingredient_option_available_tt;This option is available to you because you have multiple §YIngredients§! in your Treasury.\n \n;;;;;;;;;;;Ýòîò âàðèàíò äîñòóïåí Âàì, ïîñêîëüêó Âû èìååòå íåñêîëüêî §Yèíãðåäèåíòîâ§! â Âàøåé §Yñîêðîâèùíèöå§!\n \n;;x
must_have_ingredients_tt;Has at least two §YIngredients§!;;;;;;;;;;;Åñòü õîòÿ áû äâà §Yèíãðåäèåíòà§!;;x
