HF_100_DESC;A wandering warrior has requested an audience. It appears as if the entire court is abuzz with stories of [invited_character.GetHerHis] exploits, this [invited_character.GetFirstNameWithNick] is seemingly of great renown. [invited_character.GetSheHeCap] wishes to swear fealty to me, having heard of my relation to the legendary [target_bloodline_founder.GetFullName]! I truly am blessed by my blood.;;;;;;;;;;;[invited_character.GetFirstNameWithNick] ïîïðîñèë[invited_character.GetEndA] àóäèåíöèè. Âåñü äâîð ãóäèò ðàññêàçàìè î [selected_character.GetHersHis] ïîäâèãàõ è ïîõîæå, ýò[invited_character.GetEtaEtot] ñòðàíñòâóþù[invited_character.GetAyaIy] âîèòåëü[invited_character.GetGetEndNitsa] îáëàäàåò îïðåäåë¸ííîé èçâåñòíîñòüþ. [invited_character.GetSheHeCap] æåëàåò ïðèñÿãíóòü ìíå íà âåðíîñòü, óçíàâ î òîì, ÷òî ëåãåíäàðí[target_bloodline_founder.GetAyaYy] [target_bloodline_founder.GetFullName] - ì[target_bloodline_founder.GetOyaOy] ðîäñòâåííè[target_bloodline_founder.GetTsaK]! Ìîÿ êðîâü äåéñòâèòåëüíî áëàãîñëîâëåíà.;;x
HF_110_DESC;The blood of [target_bloodline_founder.GetFullName] flows through my veins. Since the days [target_bloodline_founder.GetSheHe] walked the earth we have abandoned our old [target_bloodline_founder.Religion.GetName] faith, though I do see merit in the ways that helped shape such a legend...;;;;;;;;;;;[target_bloodline_founder.GetFullName] - ìîé âåëèêèé ïðåäîê, [target_bloodline_founder.GetHersHis] êðîâü òå÷¸ò ïî ìîèì âåíàì. È õîòÿ ìû îòêàçàëèñü îò íàøåé ñòàðîé [target_bloodline_founder.GetRelAdj]ñêîé âåðû, ÿ âèæó äîñòîèíñòâà â ïóòÿõ, êîòîðûå ïîìîãëè ñôîðìèðîâàòü òàêóþ ëåãåíäó...;;x
HF_120_DESC;There are many legends about the great [target_bloodline_founder.GetManWoman] whose blood I share. A particular story has been circulating at court lately. It focuses on an epic feat where [target_bloodline_founder.GetFirstName] proves [target_bloodline_founder.GetHerHis] strength of character. The more I hear, the more I wish to emulate [target_bloodline_founder.GetHerHim]...;;;;;;;;;;;Ñóùåñòâóåò ìíîãî ëåãåíä î âåëè÷èè [target_bloodline_founder.GetManWoman]û, ÷üÿ êðîâü òå÷¸ò ïî ìîèì âåíàì. Â ïîñëåäíåå âðåìÿ ïðè äâîðå õîäèò îñîáàÿ èñòîðèÿ. Îíà ïîñâÿùåíà ýïè÷åñêîìó ïîäâèãó, â êîòîðîì [target_bloodline_founder.GetFirstName] äîêàçàë[target_bloodline_founder.GetEndA] ñèëó ñâîåãî õàðàêòåðà. ×åì áîëüøå ÿ îá ýòîì ñëûøó, òåì áîëüøå õî÷ó [target_bloodline_founder.GetHerHim] ïîäðàæàòü...;;x
EVTOPTA_HF_110;We were once like them, we should not judge their ways.;;;;;;;;;;;Êîãäà-òî ìû áûëè òàêèìè æå, êàê îíè. Íàì íå ñëåäóåò îñóæäàòü èõ ïóòè.;;x
EVTOPTA_HF_120;I shall strive to be more like [target_bloodline_founder.GetHerHim]!;;;;;;;;;;;ß ïîñëåäóþ [target_bloodline_founder.GetHersHis] ïðèìåðó!;;x
EVTOPTB_HF_100;Who invited [invited_character.GetHerHim]? Begone!;;;;;;;;;;;Êòî [selected_character.GetHersHis] âîîáùå ïîçâàë? — Ïðîâàëèâàé!;;x
EVTOPTB_HF_110;No, the ways of old belong in the past.;;;;;;;;;;;Íåò, ñòàðûå ïîðÿäêè îñòàëèñü â ïðîøëîì.;;x
EVTOPTB_HF_120;No, I make my own fate.;;;;;;;;;;;Íåò, ÿ ñàì[Root.GetEndA] ðåøó ñâîþ ñóäüáó.;;x
EVTOPTC_HF_110;[target_bloodline_founder.Religion.GetHighGodName] speaks directly through my blood! I repent!;;;;;;;;;;;[target_bloodline_founder.Religion.GetHighGodName] ãîâîðèò ÷åðåç ìîþ êðîâü! ß ðàñêàèâàþñü!;;x
EVTOPTC_HF_120;I know EXACTLY what they are referring to!;;;;;;;;;;;ß ÒÎ×ÍÎ çíàþ, ÷òî îíè èìåþò â âèäó!;;x
EVTTITLEHF24000;Tyrant of Trinacria;;;;;;;;;;;Tèðàí Òðèíàêðèè;;x
EVTTITLEHF24011;Queen of Illyria;;;;;;;;;;;Kîðîëåâà Èëëèðèè;;x
EVTTITLEHF24012;Queen of Illyria;;;;;;;;;;;Kîðîëåâà Èëëèðèè;;x
EVTTITLEHF24026;The happy [Root.GetSonDaughter] of [Root.Capital.GetName];;;;;;;;;;;C÷àñòëèâîå äåòñòâî;;x
EVTTITLEHF24028;The Macabre Banquet;;;;;;;;;;;Kðîâàâûé áàíêåò;;x
EVTTITLEHF24029;The Silent Killer of [Root.Capital.GetName];;;;;;;;;;;Èäåàëüíûå óáèéñòâà;;x
EVTTITLEHF24030;The Butcher of [Root.Capital.GetName];;;;;;;;;;;Kðîâàâ[Root.GetAyaYy] [Root.GetLordLadyEng];;x
