EVTTITLEHF25800;The Children's Crusade;;;;;;;;;;;Kðåñòîâûé ïîõîä äåòåé;;x
EVTTITLEHF25802;The death of [From.GetFirstName];;;;;;;;;;;Ïðèêîñíîâåíèå ñìåðòè;;x
EVTTITLEHF25806;The Holy Child;;;;;;;;;;;Câÿòîå äèòÿ;;x
EVTTITLEHF25815;The Unmoving Sea;;;;;;;;;;;Håïîäâèæíîå ìîðå;;x
EVTTITLEHF25816;The Coasts of Achaia;;;;;;;;;;;Ïîáåðåæüå Àõåè;;x
EVTTITLEHF25817;The Children at Nikaea;;;;;;;;;;;Hèêåÿ;;x
EVTTITLEHF25818;The Angels in Antioch;;;;;;;;;;;Aíãåëû â Àíòèîõèè;;x
EVTDESCAHF25800;I have received a vision from the Holy Ghost.\nOur Lord has ordered me to take up arms, rally the faithful and march on the Holy Land to take it away from the vile grasp of the infidels desecrating its hallowed grounds.;;;;;;;;;;;ß ïîëó÷èë[Root.GetEndA] âèäåíèå îò Ñâÿòîãî Äóõà.\nÍàø Ãîñïîäü ïîâåëåë ìíå âçÿòüñÿ çà îðóæèå, ñïëîòèòü âåðóþùèõ è îòïðàâèòüñÿ íà Ñâÿòóþ Çåìëþ, ÷òîáû âûðâàòü å¸ èç ãíóñíûõ ëàï íåâåðíûõ, îñêâåðíÿþùèõ å¸ ñâÿùåííóþ ïî÷âó.;;x
EVTDESCAHF25802;By permanently getting rid of [From.GetFirstName], I have ensured that [From.GetHerHis] misguided attempt to lead a Crusade to the Holy Land will never come to pass. All the children and peasants who had flocked to the banner of this [From.GetBoyGirl] have scattered to the four winds. They lament the loss of their beloved leader, still unable to grasp why would God allow [From.GetHerHim] to meet an untimely end before accomplishing [From.GetHerHis] divine task.\nAs unfortunate as [From.GetFirstName]'s fate was, it has undoubtedly saved the lives of countless people, who would have otherwise followed the child into the maws of certain doom at the hands of the infidels.;;;;;;;;;;;Íàâñåãäà èçáàâèâøèñü îò [From.GetFirstName], ÿ ãàðàíòèðîâàë[Root.GetEndA], ÷òî [From.GetHerHis] îøèáî÷íàÿ ïîïûòêà âîçãëàâèòü Êðåñòîâûé ïîõîä íà Ñâÿòóþ Çåìëþ íèêîãäà íå îñóùåñòâèòñÿ. Âñå äåòè è êðåñòüÿíå, ñòåêàâøèåñÿ ïîä çíàì¸íà ýòîãî [From.GetBoyGirl], ðàçáåæàëèñü ïî ÷åòûð¸ì âåòðàì. Îíè îïëàêèâàþò ïîòåðþ ñâîåãî ëþáèìîãî ëèäåðà, âñ¸ åù¸ íå â ñèëàõ ïîíÿòü, ïî÷åìó Áîã ïîçâîëèë [From.GetHerHim] âñòðåòèòü áåçâðåìåííûé êîíåö, ïðåæäå ÷åì âûïîëíèòü [From.GetHerHis] áîæåñòâåííóþ ìèññèþ.\nÊàêîé áû ïðèñêîðáíîé íè áûëà ñóäüáà [From.GetFirstName], ýòî, íåñîìíåííî, ñïàñëî æèçíè áåñ÷èñëåííîìó êîëè÷åñòâó ëþäåé, êîòîðûå, â ïðîòèâíîì ñëó÷àå, ïîñëåäîâàëè áû çà ðåá¸íêîì íà âåðíóþ ñìåðòü îò ðóê èíîâåðöåâ.;;x
EVTDESCAHF25804;By capturing [From.GetFirstName], I have put a stop to [From.GetHerHis] misguided attempt to lead a Crusade to the Holy Land.\n\nThe child languished in my dungeons, and [From.GetHerHis] foolish followers have already started to scatter to the four winds, unable to fathom why God would allow their beloved leader to be stopped so easily.;;;;;;;;;;;Ñõâàòèâ â ïëåí [From.GetFirstName], ÿ ïîëîæèë[Root.GetEndA] êîíåö [From.GetHerHis] îøèáî÷íîé ïîïûòêå âîçãëàâèòü Êðåñòîâûé ïîõîä íà Ñâÿòóþ Çåìëþ.\n\nÐåá¸íîê òîìèëñÿ â ìîèõ ïîäçåìåëüÿõ, à [From.GetHerHis] ãëóïûå ïîñëåäîâàòåëè óæå íà÷àëè ðàçáåãàòüñÿ ïî ÷åòûð¸ì ñòðóíàì, íå â ñèëàõ ïîíÿòü, ïî÷åìó Áîã ïîçâîëèë òàê ëåãêî îñòàíîâèòü èõ ëþáèìîãî ëèäåðà.;;x
EVTDESCAHF25805;With the untimely capture of [From.GetFirstName] by [FromFrom.GetTitledFirstName], the [From.GetBoyGirl]'s attempt to lead a horde of zealots to recapture the Holy Land for Christendom has been foiled. The child's followers have swiftly scattered to the four winds after the loss of their beloved leader, unable to comprehend why God would allow [From.GetFirstName] to be stopped so easily before succeeding in [From.GetHerHis] divine quest.;;;;;;;;;;;Ñ íåñâîåâðåìåííûì ïëåíåíèåì [From.GetFirstName] [FromFrom.GetTitledFirstName], ïîïûòêà [From.GetBoyGirl] âîçãëàâèòü îðäó ôàíàòèêîâ, ÷òîáû âåðíóòü Ñâÿòóþ Çåìëþ õðèñòèàíñêîìó ìèðó áûëà ñîðâàíà. Ïîñëåäîâàòåëè ðåá¸íêà áûñòðî ðàçáåæàëèñü ïî âåòðó ïîñëå ïîòåðè ñâîåãî ëþáèìîãî ëèäåðà, íå â ñèëàõ ïîíÿòü, ïî÷åìó Áîã ïîçâîëèë òàê ëåãêî îñòàíîâèòü [From.GetFirstName], ïðåæäå ÷åì îí[From.GetEndA] ïðåóñïåë[From.GetEndA] â [From.GetHerHis] áîæåñòâåííîé ìèññèè.;;x
