EVTTITLE20003;The Conversion of [converting_king.PrimaryTitle.GetName];;;;;;;;;;;[sponsoring_king.GetMassBaptismEventTitle];;x
EVTTITLE20004;The Conversion of [converting_king.PrimaryTitle.GetName];;;;;;;;;;;[sponsoring_king.GetMassBaptismEventTitle];;x
EVTTITLE20008;The Conversion of [converting_king.PrimaryTitle.GetName];;;;;;;;;;;[sponsoring_king.GetMassBaptismEventTitle];;x
EVTTITLE20090;The Conversion of [converting_king.PrimaryTitle.GetName];;;;;;;;;;;[sponsoring_king.GetMassBaptismEventTitle];;x
EVTTITLE20200;The Coronation Ceremony;;;;;;;;;;;Kîðîíàöèÿ;;x
EVTTITLE20366;Coronation of [coronation_ruler.GetTitledFirstName];;;;;;;;;;;Kîðîíàöèÿ;;x
EVTTITLE20371;Scandalous Coronation;;;;;;;;;;;Cêàíäàëüíàÿ êîðîíàöèÿ;;x
EVTDESCHF20200;The time has finally come for me to be officially recognized as [Root.GetTitle] of [Root.PrimaryTitle.GetName]. In order do this, I will need the support of the [Root.Religion.GetName] Church, but convincing authoritative members will neither be easy nor cheap. To begin the preparations, I should find a priest willing to crown me.;;;;;;;;;;;Ïîðà îôèöèàëüíî ïðèçíàòü, ÷òî ÿ - [Root.GetTitle] [Root.GetKindomNameOrAdjStateGEN]. Äëÿ ýòîãî ìíå íóæíà ïîääåðæêà [Root.GetRelAdj]ñêîé öåðêâè, íî óáåäèòü äóõîâíûõ èåðàðõîâ áóäåò íåïðîñòî èëè, âåðíåå ñêàçàòü, íåä¸øåâî. ×òîáû íà÷àòü ïîäãîòîâêó, ìíå íàäî íàéòè ñâÿùåííèêà, êîòîðûé ñîãëàñèòñÿ êîðîíîâàòü ìåíÿ.;;x
EVTDESCHF20303;[Root.GetTitledFirstName],\nI will be glad to attend your coronation!;;;;;;;;;;;[Root.PrimaryTitle.GetFOA].\nß ñ ðàäîñòüþ ïðèìó ó÷àñòèå â Âàøåé êîðîíàöèè!;;x
EVTDESCHF20304;[Root.GetTitledFirstName],\nI am afraid I have to decline your invitation.;;;;;;;;;;;[Root.PrimaryTitle.GetFOA].\nÁîþñü, ÿ âûíóæäåí[From.GetEndA] îòêàçàòüñÿ îò Âàøåãî ïðèãëàøåíèÿ.;;x
EVTDESCHFA20201;[From.GetFullName] wishes me to crown [From.GetHerHim] [From.GetTitle] of [From.PrimaryTitle.GetName]. What do I wish to ask [From.GetHerHim] in return?;;;;;;;;;;;[From.GetFullName] õî÷åò, ÷òîáû ÿ êîðîíîâàë[Root.GetEndA] [From.GetHersHis], ïîäòâåðäèâ òåì ñàìûì, ÷òî [From.GetSheHe] - [From.GetTitle] [From.GetKindomNameOrAdjStateGEN]. ×òî æå ìíå ïîïðîñèòü ó í[From.GetHersHis] âçàìåí?;;x
EVTDESCHFA20202;To the Excellent [Root.GetTitledName],\nI shall be honored to officiate [Root.GetHerHisCap] [Root.GetHonorific]'s coronation. I eagerly await [Root.GetHerHisCap] [Root.GetHonorific]'s instructions regarding date and manner of the ceremony in order to better prepare myself for this sacred duty.\n\nEver [Root.GetHerHisCap] [Root.GetHonorific]'s servant\n[From.GetTitledName];;;;;;;;;;;Ïðåâîñõîäíåéø[Root.GetAyaYy] [Root.GetTitledName].\nÄëÿ ìåíÿ áóäåò ÷åñòüþ îôèöèàëüíî êîðîíîâàòü Âàøå [Root.GetHonorific]. Ñ íåòåðïåíèåì æäó ðàñïîðÿæåíèé îòíîñèòåëüíî äàòû öåðåìîíèè è ïîðÿäêà å¸ ïðîâåäåíèÿ, ÷òîáû ÿ ìîã[From.GetNoneE] êàê ìîæíî ëó÷øå ïîäãîòîâèòüñÿ ê âûïîëíåíèþ ýòîãî ñâÿùåííîãî äîëãà.\nÂñåãäà ãîòîâ[From.GetAyaYy] ñëóæèòü Âàøåìó [Root.GetHonorificDAT],\n [From.GetTitledFirstName];;x
