EVTTITLE23212;The Legend of [Root.GetFirstNameWithNick];;;;;;;;;;;Ëåãåíäà î [Root.GetFirstNameWithNick];;x
EVTTITLE23213;The Legend of [From.GetFirstNameWithNick];;;;;;;;;;;Ëåãåíäà î âîèíå;;x
EVTTITLE23434;Harbinger of the Blood Gods;;;;;;;;;;;Ïðåäâåñòíè[Root.GetTsaK] Êðîâàâûõ Áîãîâ;;x
EVTTITLE23435;Realm of Blood;;;;;;;;;;;Êðîâàâûå âëàäåíèÿ;;x
EVTDESCAHF23007;Before our troops can test their mettle against our enemies, we must be sure that the gods are in favor of this war. [From.GetTitledFirstName] has gathered all [From.GetHerHis] instruments and is ready to perform the divination on my offering.;;;;;;;;;;;Ïðåæäå ÷åì íàøè âîéñêà ñìîãóò èñïûòàòü ñâîè ñèëû ïðîòèâ âðàãà, ìû äîëæíû óáåäèòüñÿ, ÷òî áîãè áëàãîâîëÿò ýòîé âîéíå. [From.GetTitledFirstName] ñîáðàë[From.GetEndA] âñå ñâîè èíñòðóìåíòû è ãîòîâ[From.GetEndA] ïðîâåñòè ãàäàíèå íà ìî¸ì ïîäíîøåíèè.;;x
EVTDESCAHF23008;[Root.GetHaruspexName] cuts the bull in half. While the beast's head is immolated, the diviner starts rummaging through his entrails. The response is quite clear. The gods favor our cause in the war to come! The troops will fight with renewed strength now that they know for sure that our victory has been ordained from the heavens.;;;;;;;;;;;[Root.GetHaruspexName] ðàçðåçàë[Root.GetHaruspexEndA] áûêà ïîïîëàì. Ïîêà ãîëîâà æèâîòíîãî ãîðåëà â æåðòâåííîì îãíå, [Root.GetHaruspexSheHe] ðû[Root.GetHaruspexLasLsya] â åãî âíóòðåííîñòÿõ. Îòâåò âïîëíå ÿñåí. Áîãè áëàãîâîëÿò íàøåìó äåëó â ãðÿäóùåé âîéíå! Òåïåðü íàøè âîèíû áóäóò ñðàæàòüñÿ ñ íîâîé ñèëîé, êîãäà îíè òî÷íî çíàþò, ÷òî íàøà ïîáåäà ïðåäíà÷åðòàíà íåáåñàìè.;;x
EVTDESCAHF23009;[Root.GetHaruspexName] cuts the bull in half. While the beast's head is immolated, the diviner starts rummaging through his entrails. The signs are not entirely clear, but the diviner assures me that there was no signs of the Fates opposing our war. Our troops will surely be comforted by knowing that the gods are not against them.;;;;;;;;;;;[Root.GetHaruspexName] ðàçðåçàë[Root.GetHaruspexEndA] áûêà ïîïîëàì. Ïîêà ãîëîâà æèâîòíîãî ãîðåëà â æåðòâåííîì îãíå, [Root.GetHaruspexSheHe] ðû[Root.GetHaruspexLasLsya] â åãî âíóòðåííîñòÿõ. Çíàêè íå ñîâñåì ÿñíû, íî ïðîðèöàòåëü[Root.GetHaruspexEndNitsa] óâåðÿåò ìåíÿ, ÷òî íå áûëî íèêàêèõ ïðèçíàêîâ òîãî, ÷òî ñóäüáà ïðîòèâèòñÿ íàøåé âîéíå. Íàøè âîéñêà áóäóò óòåøàòüñÿ òåì, ÷òî áîãè íå ïðîòèâ íèõ.;;x
EVTDESCAHF23010;[Root.GetHaruspexName] cuts the bull in half. While the beast's head is immolated, the diviner starts rummaging through his entrails. Unfortunately, the response from the diviner is not as positive as I hoped. There are clear signs that the gods are not in favor of this war. This news will not be good for morale...;;;;;;;;;;;[Root.GetHaruspexName] ðàçðåçàë[Root.GetHaruspexEndA] áûêà ïîïîëàì. Ïîêà ãîëîâà æèâîòíîãî ãîðåëà â æåðòâåííîì îãíå, [Root.GetHaruspexSheHe] ðû[Root.GetHaruspexLasLsya] â åãî âíóòðåííîñòÿõ. Ê ñîæàëåíèþ, îòâåò áûë íå òàêèì ïîëîæèòåëüíûì, êàê ÿ íàäåÿ[Root.GetLasLsya]. Åñòü ÿâíûå ïðèçíàêè òîãî, ÷òî áîãè íå îäîáðÿþò ýòó âîéíó. Ýòà íîâîñòü íå ïîäíèìåò áîåâîé äóõ.;;x
EVTDESCAHF23011;[Root.GetHaruspexName] cuts the bull in half. While the beast's head is immolated, the diviner starts rummaging through his entrails. The response is terrible. Not only are the gods against us in this war but, according to the signs interpreted by the diviner, they seem to be favoring our enemies!;;;;;;;;;;;[Root.GetHaruspexName] ðàçðåçàë[Root.GetHaruspexEndA] áûêà ïîïîëàì. Ïîêà ãîëîâà æèâîòíîãî ãîðåëà â æåðòâåííîì îãíå, [Root.GetHaruspexSheHe] ðû[Root.GetHaruspexLasLsya] â åãî âíóòðåííîñòÿõ. Îòâåò áûë óæàñåí. Ìàëî òîãî, ÷òî áîãè ïðîòèâ íàñ â ýòîé âîéíå, íî, ñîãëàñíî çíàêàì, èñòîëêîâàííûì ïðîðèöàòåë[Root.GetHaruspexSoftNitseyEm], îíè áëàãîâîëÿò íàøèì âðàãàì!;;x
EVTDESCAHF23021;I was told many time when I was growing up of how the stars are influencing my behavior, but now I am no longer sure of it. Was it just stories grown-ups were telling me to make me feel special?;;;;;;;;;;;Â äåòñòâå ìíå ìíîãî ðàç ãîâîðèëè î òîì, êàê çâ¸çäû âëèÿþò íà ìî¸ ïîâåäåíèå, íî ñåé÷àñ ÿ óæå íå óâåðåí[Root.GetEndA] â ýòîì. Áûëè ëè ýòî ïðîñòî èñòîðèè, êîòîðûå âçðîñëûå ðàññêàçûâàëè ìíå, ÷òîáû ÿ ÷óâñòâîâàë[Root.GetEndA] ñåáÿ îñîáåíí[Root.GetOyYm]?;;x
EVTDESCAHF23022;My [GetFromRelation] [From.GetFirstName] has taken a deep interest in the circumstances of [From.GetHerHis] birth and in the constellations affecting [From.GetHerHis] destiny.;;;;;;;;;;;Ì[From.GetOyaOy] [From.GetRootRelation] [From.GetFirstName] ïðîÿâëÿåò ãëóáîêèé èíòåðåñ ê îáñòîÿòåëüñòâàì ñâîåãî ðîæäåíèÿ è ê ñîçâåçäèÿì, âëèÿþùèì íà [From.GetHersHis] ñóäüáó.;;x
EVTDESCAHF23023;My [GetFromRelation] [From.GetFirstName] warned me that I worry too much about the stars and that I should not let the circumstances of my birth affect my judgment on present events.;;;;;;;;;;;Ì[From.GetOyaOy] [From.GetRootRelation] [From.GetFirstName] ñêàçàë[From.GetEndA], ÷òî ÿ ñëèøêîì áåñïîêîþñü î çâ¸çäàõ è ÷òî íå ñòîèò ïîçâîëÿòü îáñòîÿòåëüñòâàì ðîæäåíèÿ âëèÿòü íà ñóæäåíèÿ î òåêóùèõ ñîáûòèÿõ.;;x
EVTDESCAHF23024;My [GetFromRelation] [From.GetFirstName] praised me today for paying the due respect to the heavens and taking a healthy interest in astrology and the influence that the stars have on me.;;;;;;;;;;;Ì[From.GetOyaOy] [From.GetFirstName] ïîõâàëèë[From.GetEndA] ìåíÿ ñåãîäíÿ çà òî, ÷òî ÿ îòäàë[Root.GetEndA] äîëæíîå íåáåñàì è ïðîÿâèë[Root.GetEndA] çäîðîâûé èíòåðåñ ê àñòðîëîãèè è âëèÿíèþ, êîòîðîå îêàçûâàþò íà ìåíÿ çâ¸çäû.;;x
EVTDESCAHF23025;After making the proper calculations, I have determined that I was born under the sign of the Aquarius, a constellation commonly associated with introversion and eccentricity.;;;;;;;;;;;Ïðîâåäÿ íåîáõîäèìûå âû÷èñëåíèÿ, ìíå óäàëîñü îïðåäåëèòü, ÷òî ÿ áûë[Root.GetEndA] ðîæäåí[Root.GetEndA] ïîä çíàêîì Âîäîëåÿ, ÷òî îáû÷íî àññîöèèðóþò ñ ýñòðàâåðñèåé è ýêñöåíòðè÷íîñòüþ.;;x
EVTDESCAHF23026;I walk amongst the ruins of one of the greatest civilizations to ever grace this world. I should take the opportunity to study in detail the history and the glorious accomplishments of those that came before us if I ever wish to emulate their feats.;;;;;;;;;;;ß õîæó ñðåäè ðóèí îäíîé èç âåëè÷àéøèõ öèâèëèçàöèé, êîãäà-ëèáî óêðàøàâøèõ ýòîò ìèð. Ìíå íóæíî âîñïîëüçîâàòüñÿ âîçìîæíîñòüþ ïîäðîáíî èçó÷èòü èñòîðèþ è ñëàâíûå äîñòèæåíèÿ òåõ, êòî áûë äî íàñ, åñëè ÿ êîãäà-íèáóäü çàõî÷ó ïîäðàæàòü èõ ïîäâèãàì.;;x
EVTDESCAHF23027;I did my best, but my attempts to study the history of the Roman Empire were not as successful as I hoped. Most accounts I was able to access are fragmented and confusing. I don't think I was able to learn anything valuable after all these months of study.;;;;;;;;;;;ß ñòàðà[Root.GetLasLsya] èçî âñåõ ñèë, íî ìîè ïîïûòêè èçó÷èòü èñòîðèþ Ðèìñêîé èìïåðèè îêàçàëèñü íå òàêèìè óñïåøíûìè, êàê ÿ íàäåÿ[Root.GetLasLsya]. Áîëüøèíñòâî ó÷¸òíûõ çàïèñåé, ê êîòîðûì ìíå óäàëîñü ïîëó÷èòü äîñòóï, ôðàãìåíòèðîâàíû è çàïóòàíû. Íå äóìàþ, ÷òî ìíå óäàëîñü óçíàòü ÷òî-òî öåííîå ïîñëå ñòîëüêèõ ìåñÿöåâ ó÷¸áû.;;x
EVTDESCAHF23028;I am fascinated by the legends of the old gods worshiped by Romans and Greeks in the past. Their capricious and passionate nature differs so much from [catholic.GetHighGodName]'s unknowable and contradictory designs... Their plots and rivalries certainly offer a better explanation for the chaotic state of our world.;;;;;;;;;;;Ìåíÿ âîñõèùàþò ëåãåíäû î ñòàðûõ áîãàõ, êîòîðûì â ïðîøëîì ïîêëîíÿëèñü ðèìëÿíå è ãðåêè. Èõ êàïðèçíàÿ è ñòðàñòíàÿ íàòóðà òàê ñèëüíî îòëè÷àåòñÿ îò íåïîñòèæèìûõ è ïðîòèâîðå÷èâûõ çàìûñëîâ [catholic.GetReligionHighGodGEN]. Èõ èíòðèãè è ñîïåðíè÷åñòâî, áåçóñëîâíî, äàþò ëó÷øåå îáúÿñíåíèå õàîòè÷íîìó ñîñòîÿíèþ íàøåãî ìèðà.;;x
EVTDESCAHF23029;In these past months I have immersed myself in the fragmented accounts of Caesar's military exploits against the Gauls. It has been an enlightening learning experience and I am sure that, despite the difference in equipment and sizes, I can apply some of his tactics against my own enemies.;;;;;;;;;;;Â ïîñëåäíèå ìåñÿöû ÿ ïîãðóçè[Root.GetLasLsya] â èçó÷åíèå ðàçðîçíåííûõ çàïèñåé î âîåííûõ ïîõîäàõ Öåçàðÿ ïðîòèâ ãàëëîâ. Ýòî áûë ïîçíàâàòåëüíûé îïûò, è ÿ óâåðåí[Root.GetEndA], ÷òî, íåñìîòðÿ íà ðàçíèöó â ýêèïèðîâêå è ðàçìåðàõ àðìèè, ÿ ñìîãó ïðèìåíèòü íåêîòîðûå èç åãî òàêòèê ïðîòèâ ìîèõ ñîáñòâåííûõ âðàãîâ.;;x
EVTDESCAHF23030;In these past months I have immersed myself in the fragmented accounts of some of Rome's greatest statesmen. Reading the works of Emperor Justinian and of his reformation of the Roman legal code in particular has been an eye-opening experience for me.;;;;;;;;;;;Â ïîñëåäíèå ìåñÿöû ÿ ïîãðóçè[Root.GetLasLsya] â èçó÷åíèå ðàçðîçíåííûõ çàïèñåé íåêîòîðûõ èç âåëè÷àéøèõ ãîñóäàðñòâåííûõ äåÿòåëåé Ðèìà. ×òåíèå òðóäîâ èìïåðàòîðà Þñòèíèàíà è, â ÷àñòíîñòè, î åãî êîäèôèêàöèè è ðåôîðìå ðèìñêîãî ïðàâà ñòàëî äëÿ ìåíÿ ïîó÷èòåëüíûì îïûòîì.;;x
EVTDESCAHF23031;In these past months I have immersed myself in the fragmented accounts of some of Rome's finest orators. Reading through the treaties of Cicero and other great sophists has allowed me to learn a lot about the fine art of diplomacy and politics.;;;;;;;;;;;Â ïîñëåäíèå ìåñÿöû ÿ ïîãðóçè[Root.GetLasLsya] â èçó÷åíèå ðàçðîçíåííûõ òðóäîâ íåêîòîðûõ èç ëó÷øèõ ðèìñêèõ îðàòîðîâ. ×òåíèå òåêñòîâ Öèöåðîíà è äðóãèõ âåëèêèõ ñîôèñòîâ ïîçâîëèëî ìíå ìíîãîå óçíàòü î òîíêîñòÿõ èñêóññòâà äèïëîìàòèè è ïîëèòèêè.;;x
