EVTTITLE23910;The Offering;;;;;;;;;;;Ïîäíîøåíèå;;x
EVTTITLE23911;The Offering;;;;;;;;;;;Ïîäíîøåíèå;;x
EVTDESCHF23802;It would not be appropriate to continue celebrations after the death of [From.GetTitledFirstName]. The festival has been therefore canceled to allow the [From.GetTitle]'s close ones to properly mourn [From.GetHerHis] loss.;;;;;;;;;;;Áûëî áû íåóìåñòíûì ïðîäîëæàòü ïðàçäíîâàíèå ïîñëå ñìåðòè [From.GetTitledFirstName]. Ïîýòîìó ïðàçäíèê áûë îòìåí¸í, ÷òîáû áëèçêèå [From.GetTitle] ìîãëè äîëæíûì îáðàçîì îïëàêàòü [From.GetHerHis] ïîòåðþ.;;x
EVTDESCHF23804;With a war brewing on the horizon, we must set aside all frivolous activities and prepare for battle. I must therefore regretfully cancel the festival of [Root.Capital.GetName].;;;;;;;;;;;Ïîñêîëüêó íà ãîðèçîíòå íàçðåâàåò âîéíà, ìû äîëæíû îòáðîñèòü âñå ëåãêîìûñëåííûå çàíÿòèÿ è ïðèãîòîâèòüñÿ ê áèòâå. Ïîýòîìó ÿ ñ ñîæàëåíèåì âûíóæäåí[Root.GetEndA] îòìåíèòü ïðàçäíèê [Root.Capital.GetName].;;x
EVTDESCHF23805;With a war brewing on the horizon, we must set aside all frivolous activities and prepare for battle. In light of this troubling new event, [From.GetTitledFirstName] has had to regretfully cancel the festival of [From.Capital.GetName].;;;;;;;;;;;Ïîñêîëüêó íà ãîðèçîíòå íàçðåâàåò âîéíà, ìû äîëæíû îòáðîñèòü âñå ëåãêîìûñëåííûå çàíÿòèÿ è ïðèãîòîâèòüñÿ ê áèòâå. Â ñâåòå ýòîãî òðåâîæíîãî íîâîãî ñîáûòèÿ [From.GetTitledFirstName] ïðèøëîñü, ñ ñîæàëåíèåì, îòìåíèòü ïðàçäíèê [From.Capital.GetName].;;x
EVTDESCHF23806;A great festival is exactly what the people of [Root.PrimaryTitle.GetName] need to strengthen the bonds with their fellow tribesmen. It will also be a great opportunity for the Chieftains to bring offerings to our ancestors, bringing prosperity to our lands.;;;;;;;;;;;Âåëèêèé ïðàçäíèê - ýòî èìåííî òî, ÷òî òàê íóæíî íàðîäó [Root.PrimaryTitle.GetName], ÷òîáû óêðåïèòü ñâÿçè ñ ñîïëåìåííèêàìè. Ýòî òàêæå áóäåò ïðåêðàñíîé âîçìîæíîñòüþ äëÿ âîæäåé ñîâåðøèòü ïîäíîøåíèÿ ïðåäêàì, ÷òî äàðóþò ïðîöâåòàíèå íàøèì çåìëÿì.;;x
EVTDESCHF23808;I will be glad to join you for the §YGreat Festival§!, my liege.;;;;;;;;;;;ß ñ ðàäîñòüþ ïðèñîåäèíþñü ê âàì íà §YÂåëèêîì ïðàçäíèêå§!, ìîé ñþçåðåí.;;x
EVTDESCHF23812;The celebrations have finally begun. [Root.Capital.GetName] is bustling with activity: people from every corner of [Root.PrimaryTitle.GetName] have traveled here to pay their respects to me and my ancestors, exchange tales and goods, and have a good time.;;;;;;;;;;;Ïðàçäíîâàíèÿ íàêîíåö íà÷àëèñü. Â [Root.Capital.GetName] êèïèò æèçíü: ëþäè ñî âñåõ óãîëêîâ [Root.PrimaryTitle.GetName] ïðèåçæàþò ñþäà, ÷òîáû âûðàçèòü ñâî¸ ïî÷òåíèå ìíå è ìîèì ïðåäêàì, îáìåíÿòüñÿ èñòîðèÿìè è òîâàðàìè, à òàêæå õîðîøî ïðîâåñòè âðåìÿ.;;x
EVTDESCHF23813;The celebrations have finally begun. [From.Capital.GetName] is bustling with activity: people from every corner of [From.PrimaryTitle.GetName] have traveled here to pay their respects to [From.GetTitledFirstName] and [From.GetHerHis] ancestors, exchange tales and goods, and have a good time.;;;;;;;;;;;Íàêîíåö-òî íà÷àëèñü òîðæåñòâà. Â [From.Capital.GetName] êèïèò æèçíü: ëþäè ñî âñåõ óãîëêîâ [From.PrimaryTitle.GetName] ñúåõàëèñü ñþäà, ÷òîáû îòäàòü äàíü óâàæåíèÿ [From.GetTitledFirstName] è [From.GetHerHis] ïðåäêàì, îáìåíÿòüñÿ ðàññêàçàìè è òîâàðàìè, à òàêæå õîðîøî ïðîâåñòè âðåìÿ.;;x
EVTDESCHFA23807;Greetings,\n[Root.GetTitledFirstName]\nA great festival is being held at [From.Capital.GetName]. You are hereby invited to join us alongside your family to celebrate our fortune and bring our offerings to our great ancestors.\nSigned,\n\n[From.GetFullName];;;;;;;;;;;Ïðèâåòñòâóþ âàñ,\n[Root.GetTitledFirstName]\nÂ [From.Capital.GetName] ïðîâîäèòñÿ âåëèêèé ïðàçäíèê. Íàñòîÿùèì ìû ïðèãëàøàåì âàñ ïðèñîåäèíèòüñÿ ê íàì âìåñòå ñî ñâîåé ñåìü¸é, ÷òîáû îòïðàçäíîâàòü íàøó óäà÷ó è ïðèíåñòè ïîäíîøåíèÿ íàøèì âåëèêèì ïðåäêàì.\nÏîäïèñü,\n\n[From.GetFullName];;x
EVTDESCHFA23810;Hail, [Root.GetSocietyRank]!\n\nI have heard news of the great celebration you are preparing for your fellow tribesmen. I wager you'd enjoy the company of a fellow warrior to exchange stories with.\n\nSigned, [warrior_lodge_guest.GetFullName];;;;;;;;;;;Çäðàâñòâóéòå, [Root.GetSocietyRank]!\n\nß ñëûøàë[From.GetEndA] íîâîñòè î áîëüøîì ïðàçäíèêå, êîòîðûé âû ãîòîâèòå äëÿ ñâîèõ ñîïëåìåííèêîâ. Äåðæó ïàðè, âàì ïîíðàâèòñÿ êîìïàíèÿ òîâàðèùà ïî îðóæèþ, ñ êîòîðûì ìîæíî îáìåíÿòüñÿ èñòîðèÿìè.\n\nÏîäïèñü, [From.GetFullName];;x
