#CODE;ENGLISH;;;;;;;;;;;RUSSIAN;;x
EVTTITLEHF25200;The Arm-wrestling Challenge;;;;;;;;;;;Àðìðåñòëèíã;;x
EVTTITLEHF25226;The Dice Game;;;;;;;;;;;Èãðà â êîñòè;;x
EVTTITLEHF25250;The Flyting;;;;;;;;;;;Ïåðåáðàíêà;;x
EVTTITLEHF25280;The Drinking Contest;;;;;;;;;;;Êòî áîëüøå âûïüåò;;x
EVTDESCHF25200;Spirits are high at the Lodge tonight, and I am itching for a challenge. Many important warriors have gathered in the large hall to celebrate a recent hunt, giving me no shortage of capable warriors to test my strength with.;;;;;;;;;;;Ñåãîäíÿ â Ëîæå öàðèò ïðèïîäíÿòîå íàñòðîåíèå, è ìíå íå òåðïèòñÿ ïðèíÿòü âûçîâ. Ìíîãèå âàæíûå âîèíû ñîáðàëèñü â áîëüøîì çàëå, ÷òîáû îòïðàçäíîâàòü íåäàâíþþ îõîòó, è ó ìåíÿ íåò íåäîñòàòêà â ñïîñîáíûõ âîèíàõ, ñ êîòîðûìè ÿ ìîãó èñïûòàòü ñâîè ñèëû.;;x
EVTDESCHF25201;Many important warriors have gathered in the Lodge tonight in order to celebrate a recent hunt. I have barely joined some of my friends in the festivities when [From.GetTitledFirstName] barges in, claiming that [From.GetSheHe] is twice as strong as I am and challenging me to an arm-wrestling match to prove it.;;;;;;;;;;;Ñåãîäíÿ âå÷åðîì â Ëîæå ñîáðàëîñü ìíîãî âàæíûõ âîèíîâ, ÷òîáû îòïðàçäíîâàòü íåäàâíþþ îõîòó. Åäâà ÿ ïðèñîåäèíè[Root.GetLasLsya] ê íåêîòîðûì èç ìîèõ äðóçåé íà ïðàçäíèêå, êàê âðûâàåòñÿ [From.GetTitledFirstName], óòâåðæäàÿ, ÷òî [From.GetSheHe] âäâîå ñèëüíåå ìåíÿ, è âûçûâàåò ìåíÿ íà ïîåäèíîê ïî àðìðåñòëèíãó, ÷òîáû äîêàçàòü ýòî.;;x
EVTDESCHF25202;[From.GetTitledFirstName] was too much of a coward to meet my challenge. [From.GetSheHeCap] excused [From.GetHerselfHimself] and left the hall in a hurry rather than test [From.GetHerHis] strength against mine.;;;;;;;;;;;[From.GetTitledFirstName] îêàçà[From.GetLasLsya] ñëèøêîì òðóñëèâ[From.GetEndA], ÷òîáû ïðèíÿòü ìîé âûçîâ. [From.GetSheHeCap] èçâèíÿåòñÿ è â ñïåøêå ïîêèäàåò çàë, âìåñòî òîãî ÷òîáû èñïûòàòü ñâîþ ñèëó ïðîòèâ ìîåé.;;x
EVTDESCHF25203;[From.GetFirstName] and I sit one in front of the other, preparing ourselves for the game. We put our arms on the table while a third fighter holds our fists still. The crowd around us chants a disjointed countdown, and cheers as we start pushing against each other.;;;;;;;;;;;[From.GetFirstName] è ÿ ñèäèì äðóã íàïðîòèâ äðóãà, ãîòîâÿñü ê èãðå. Ìû êëàä¸ì ðóêè íà ñòîë, à òðåòèé áîåö äåðæèò íàøè êóëàêè íåïîäâèæíî. Òîëïà âîêðóã íàñ ñêàíäèðóåò áåñïîðÿäî÷íûé îáðàòíûé îòñ÷¸ò è àïëîäèðóåò, êîãäà ìû íà÷èíàåì äàâèòü äðóã íà äðóãà.;;x
EVTDESCHF25206;For a while, it seemed as if victory was assured. I was slowly pushing [From.GetFirstName]'s hand closer and closer to the table. Yet, all of a sudden, [From.GetSheHe] has started to gain back ground, getting [From.GetHerHis] hand back up and starting to push on the opposite side.;;;;;;;;;;;Êàêîå-òî âðåìÿ êàçàëîñü, ÷òî ïîáåäà îáåñïå÷åíà. ß ìåäëåííî ïîäòàëêèâàë[Root.GetEndA] ðóêó [From.GetFirstName] âñ¸ áëèæå è áëèæå ê ñòîëó. Òåì íå ìåíåå, âíåçàïíî [From.GetSheHe] íà÷àë[From.GetEndA] íàáèðàòü îáîðîòû, ïîäíèìàÿ ñâîþ ðóêó è îêàçûâàÿ äàâëåíèå â ïðîòèâîïîëîæíóþ ñòîðîíó.;;x
EVTDESCHF25212;Things are not looking great for [From.GetFirstName]. I am slowly managing to get [From.GetHerHis] knuckles on the table, despite [From.GetHerHis] best efforts to push my hand back. When [From.GetSheHe] suddenly shouts a semi-coherent warning about something dangerous behind me, I am baffled.;;;;;;;;;;;Äåëà ó [From.GetFirstName] èäóò íåâàæíî. Ìíå óäà¸òñÿ ìåäëåííî ñêëîíÿòü [From.GetHerHis] êîñòÿøêè ïàëüöåâ ê ñòîëó, íåñìîòðÿ íà âñå [From.GetHerHis] ïîïûòêè îòòîëêíóòü ìîþ ðóêó. Êîãäà [From.GetSheHe] âíåçàïíî âûêðèêèâàåò íåâíÿòíîå ïðåäóïðåæäåíèå î ÷¸ì-òî îïàñíîì ïîçàäè ìåíÿ, ýòî ñáèâàåò ñ òîëêó.;;x
EVTDESCHF25215;With a loud thud, I slam [wl_arm_wrestling_loser.GetFirstName]'s fist against the table, earning a shower of cheers from the other warriors gathered around us. My opponent glares at me and mumbles something about accepting defeat as [wl_arm_wrestling_loser.GetSheHe] rubs [wl_arm_wrestling_loser.GetHerHis] hand.;;;;;;;;;;;Ñ ãðîìêèì ñòóêîì ÿ óäàðÿþ ðóêó [wl_arm_wrestling_loser.GetFirstName] îá ñòîë, âûçûâàÿ îäîáðèòåëüíûå âîçãëàñû äðóãèõ âîèíîâ, ñîáðàâøèõñÿ âîêðóã íàñ. Ìîé ïðîòèâíèê ñìîòðèò íà ìåíÿ è ÷òî-òî áîðìî÷åò î ïðèçíàíèè ïîðàæåíèÿ, êîãäà [wl_arm_wrestling_loser.GetSheHe] ïîòèðàåò ñâîþ ðóêó.;;x
